,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
0,Rice Bowl,"North Indian, South Indian",3.9,22,200,Hyderabad
1,Grab A Bowl,"North Indian, South Indian, Healthy Food, Juices",4.0,30,250,Hyderabad
2,5star Sambar,South Indian,4.2,34,300,Hyderabad
3,Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",4.1,34,150,Hyderabad
4,MilletBowl By UrbanKisaan,"Healthy Food, South Indian, Biryani",3.8,28,250,Hyderabad
5,Ghee Idli,South Indian,3.8,26,100,Hyderabad
6,Kodi Kura Chitti Gaare,"Biryani, Andhra, Chinese, South Indian",4.1,36,750,Hyderabad
7,Udipi's Upahar,"South Indian, North Indian, Chinese, Beverages",4.2,24,175,Hyderabad
8,Homely,"Home Food, North Indian, South Indian, Beverages, Desserts, Thalis",4.2,33,200,Hyderabad
9,Hatti Kaapi - Coffee and more,"South Indian, Beverages, Snacks",--,37,200,Hyderabad
10,Rajahmundry Ruchulu,"Biryani, South Indian",3.9,28,299,Hyderabad
11,N HOTEL,South Indian,4.7,22,150,Hyderabad
12,JUST BOWLS,"North Indian, Chinese, Continental, South Indian, Indian",3.9,31,200,Hyderabad
13,SaiRam Ki Bandi,"South Indian, Juices",3.7,24,150,Hyderabad
14,Nati Ruchi,"Biryani, South Indian, Sweets",3.7,32,250,Hyderabad
15,Ahobilam Foods - Millet Cave,"Healthy Food, South Indian, Continental, Salads, Snacks, Juices",4.2,27,150,Hyderabad
16,Hotel Sri Raghavendra Udupi Veg,"South Indian, Chinese, North Indian",4.0,23,200,Hyderabad
17,Rayalaseema Ruchulu,"South Indian, Biryani, Rayalaseema",4.0,33,450,Hyderabad
18,Dosa factory,South Indian,4.2,24,100,Hyderabad
19,Meghduth Biryanis,"Biryani, Chinese, Andhra, South Indian",3.6,35,250,Hyderabad
20,Pakka Local,"South Indian, North Indian, Chinese, Tandoor",4.0,44,1200,Hyderabad
21,Flavours of Taj Mahal Hotel,"North Indian, South Indian, Chinese, Continental",4.3,26,300,Hyderabad
22,Sampradaya Ruchulu,"South Indian, Andhra, Chinese, North Indian, Kebabs, Biryani, Snacks, Thalis",3.9,26,200,Hyderabad
23,Biryanis And More,"Biryani, North Indian, South Indian, Chinese, Tandoor",3.7,27,300,Hyderabad
24,Chutneys,"North Indian, Chinese, South Indian",4.2,24,500,Hyderabad
25,HARI DOSA,"Indian, South Indian, Street Food, Beverages, Snacks",3.8,32,120,Hyderabad
26,Nati Ruchi,"Biryani, South Indian, Sweets",3.7,32,250,Hyderabad
27,Bisi Bisi,South Indian,4.0,37,400,Hyderabad
28,Dosa Kodi Kura,South Indian,4.1,28,200,Hyderabad
29,Minerva Coffee Shop,"Beverages, North Indian, Chinese, Thalis, South Indian",4.1,31,400,Hyderabad
30,Vasireddy Ruchi Curries,"North Indian, South Indian, Biryani",3.5,32,200,Hyderabad
31,A1 hotel,South Indian,4.2,23,200,Hyderabad
32,Biryani Vs Pulav,"Biryani, South Indian, Chinese",3.9,33,250,Hyderabad
33,Lakshmi Kaveri's kitchen,"Indian, South Indian, Biryani, Chinese, Tandoor",3.9,42,400,Hyderabad
34,MEESALA RAJUGARI MESS,"Indian, Biryani, North Indian, South Indian, Seafood, Desserts",3.7,32,300,Hyderabad
35,Sankar Vilas Tiffens,"South Indian, Snacks, Biryani",4.3,22,100,Hyderabad
36,KUKI (KURNOOL KITCHEN),"South Indian, Andhra",3.7,43,200,Hyderabad
37,N HOTEL,South Indian,4.7,22,150,Hyderabad
38,Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",4.1,34,150,Hyderabad
39,Ram Ki Bandi,South Indian,4.0,30,200,Hyderabad
40,Minerva Xpress,South Indian,4.0,34,300,Hyderabad
41,Varalakshmi Tiffins,South Indian,4.5,20,150,Hyderabad
42,Dot Bowls,"North Indian, South Indian, Beverages",4.1,34,250,Hyderabad
43,Daspalla Hotel,"South Indian, Thalis, North Indian, Chinese, Desserts",4.0,35,500,Hyderabad
44,Vivaha Bhojanambu,"South Indian, Biryani, Andhra, Chinese, Tandoor",3.8,27,500,Hyderabad
45,Raju Gari Bhojanam,"South Indian, Beverages",--,32,200,Hyderabad
46,Soul Rasa,"Indian, Healthy Food, Home Food, South Indian, North Indian",4.0,37,300,Hyderabad
47,Rahul Tiffins,South Indian,4.0,25,200,Hyderabad
48,AADI TIFFINS PURE VEG ,South Indian,4.2,26,250,Hyderabad
49,SRI KRISHNA UDUPI PARK,"South Indian, Beverages, Sweets",4.1,30,300,Hyderabad
50,Raja Gara Biryani,"Biryani, South Indian, Indian",2.7,37,300,Hyderabad
51,SHIRIDI SAI TIFFINS & MEALS,"South Indian, Biryani",4.3,28,200,Hyderabad
52,Village Aaharam,"Indian, South Indian",4.2,32,450,Hyderabad
53,Madhuram,"Thalis, South Indian",4.2,20,250,Hyderabad
54,Sri Laxmi Tulasi Tiffin Center,South Indian,4.2,24,200,Hyderabad
55,Millet Express,"Healthy Food, South Indian, North Indian, Biryani, Chinese, Beverages",4.1,26,200,Hyderabad
56,Vanabhojanam,"North Indian, South Indian, Chinese, Biryani",4.0,23,500,Hyderabad
57,MEGHANA FOODS,South Indian,3.6,23,200,Hyderabad
58,Happy Healthy Foods,"South Indian, Andhra, Biryani, Juices, Desserts, Healthy Food",2.9,44,300,Hyderabad
59,Sree Venkateswara Pure Veg,South Indian,3.8,22,100,Hyderabad
60,Millets & Bowls	,"South Indian, Healthy Food",4.4,28,300,Hyderabad
61,Ratnam Kitchen  ,"Biryani, South Indian, Snacks, North Indian, Chettinad, Grill, Andhra, Indian, T...",3.4,45,350,Hyderabad
62,Southern Biryains,"Indian, Biryani, South Indian",3.7,38,350,Hyderabad
63,Aromas Of Hyderabad,"Biryani, Indian, Tandoor, Chinese, South Indian, North Indian",3.9,40,300,Hyderabad
64,DAKSHIN GARDENS,"North Indian, South Indian, Biryani, Tandoor, Andhra",3.9,41,500,Hyderabad
65,Rams Dosa House,"South Indian, Indian",4.3,27,150,Hyderabad
