,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
0,Naattarasan,"Chettinad, North Indian, Chinese, South Indian",4.1,48,400,Chennai
1,SRM Chettinadu Unavagam,"South Indian, Biryani, Fast Food",4.2,39,500,Chennai
2,GRK HOTEL,"South Indian, Chinese",3.8,41,250,Chennai
3,NITHYA HOME FOODS,"South Indian, Indian",3.9,53,1000,Chennai
4,Ar rahaman biriyani,"Biryani, South Indian",3.5,51,100,Chennai
5,Arcot Biryani House,"South Indian, Biryani, North Indian",3.7,45,250,Chennai
6,Loiee's veg restaurant,"North Indian, Chaat, Sweets, South Indian, Chinese",4.0,44,250,Chennai
7,Moon Light Non Veg Tiffen Combos,"South Indian, Chinese, Mughlai, Combo",4.4,47,200,Chennai
8,Sri Balaji Combo Kitchen,"South Indian, Combo",4.4,49,200,Chennai
9,Tamilnadu Hotel,"South Indian, Chinese, Biryani",3.8,54,300,Chennai
10,El-Shaddai (Home Style Foods),South Indian,3.8,75,150,Chennai
11,Buhari Hotel - Chrompet,"Indian, South Indian, Chinese, Biryani",4.1,74,400,Chennai
12,ISHWARYA MESS,"South Indian, Biryani",--,72,200,Chennai
13,Hot Chips,"South Indian, Indian, North Indian",4.4,75,200,Chennai
14,ANANDA CAFE,"South Indian, Indian, Fast Food, Biryani",--,69,200,Chennai
15,Sai Divya Andhra Mess,South Indian,3.9,74,250,Chennai
16,Sangeetha Veg Restaurant,"South Indian, North Indian, Chinese",4.4,41,600,Chennai
17,Namma Veedu Vasanta Bhavan,"North Indian, Juices, South Indian, Indian",4.3,46,300,Chennai
18,New Kurinji,"Biryani, Chettinad, Chinese, North Indian, South Indian",4.1,81,300,Chennai
