,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
0,Gulab,"North Indian, South Indian, Chinese, Tandoor, Snacks, Sweets",4.2,24,200,Delhi
1,Durga Dosa,"South Indian, Chinese",4.2,17,150,Delhi
2,Sehyog Alpahar,"South Indian, Snacks, Fast Food",4.3,32,150,Delhi
3,DURGA DOSA CORNER,"South Indian, Chinese",4.1,22,200,Delhi
4,Radha Ki Rasoi,"North Indian, Chinese, South Indian",3.0,36,350,Delhi
5,New Durga Dosa Corner,"South Indian, Snacks, Indian",3.9,27,150,Delhi
6,South Indian Hut,South Indian,4.0,22,400,Delhi
7,Temple Street,"South Indian, Biryani, Chaat, Mediterranean, Tandoor, Punjabi",3.9,33,300,Delhi
8,Bikanervala Raja Garden,"Street Food, Fast Food, Desserts, South Indian",3.8,23,300,Delhi
9,Madras Dosa & Chinese Corner (Shalimar Bagh),"South Indian, Indian, Snacks",4.0,35,300,Delhi
10,Hotel Saravana Bhavan,South Indian,4.2,24,300,Delhi
11,Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",4.2,28,160,Delhi
12,"Singla's Sweets, Bakery & Restaurant","Sweets, North Indian, Chinese, South Indian, Italian, Bakery",4.1,31,250,Delhi
13,Dakshin South Indian Hut,South Indian,4.0,29,200,Delhi
14,Great Indian Khichdi by EatFit,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, Sou...",4.3,29,200,Delhi
15,Gulab,"North Indian, Sweets, South Indian",4.0,23,250,Delhi
16,Juggernaut,"South Indian, North Indian, Fast Food, Beverages, Desserts, Street Food",4.4,30,1200,Delhi
17,MilletBowl By UrbanKisaan,"Healthy Food, South Indian, Biryani",4.2,32,250,Delhi
18,KGF SOUTH INDIAN DOSA CORNER,"South Indian, Chinese",--,35,200,Delhi
19,Banke bihari mishran bhandar,"Snacks, Chinese, Indian, Tandoor, South Indian",--,41,300,Delhi
20,Dosa Express,South Indian,--,36,100,Delhi
21,Cafe Chennai,South Indian,--,41,200,Delhi
22,South India Corner,South Indian,4.2,35,200,Delhi
23,"Singla's Sweets, Bakery & Restaurant","Sweets, North Indian, Chinese, South Indian, Italian, Bakery",4.1,31,250,Delhi
24,Bigg Boss Khana Khazana,"South Indian, Chinese, Pastas",--,38,300,Delhi
25,Dakshin South Indian Hut,South Indian,4.0,29,200,Delhi
26,JAI SOUTH INDIAN DOSA CORNER,"Street Food, South Indian, Chinese",3.8,35,400,Delhi
27,Yaaro Di Chaap,"Tandoor, Indian, South Indian, Chinese",--,38,250,Delhi
28,Om Sweets & Snacks,"Sweets, North Indian, South Indian, Chinese, Snacks, Desserts",4.4,35,500,Delhi
29,Cafe Russmunch,"Snacks, Italian, Chinese, Pizzas, South Indian, Desserts, Beverages",3.9,44,299,Delhi
30,Temple Street,"South Indian, Biryani, Chaat, Mediterranean, Tandoor, Punjabi",3.9,33,300,Delhi
31,Sehyog Alpahar,"South Indian, Snacks, Fast Food",4.3,32,150,Delhi
32,Great Indian Khichdi by EatFit,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, Sou...",4.3,29,200,Delhi
33,SHREE MEENAKSHI DOSAI,South Indian,4.3,31,200,Delhi
34,Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",4.2,28,160,Delhi
35,Sri Durga Dosa Corner,"South Indian, Chinese",3.8,37,200,Delhi
36,Standard Burfee,"Chinese, North Indian, South Indian, Continental",4.0,37,300,Delhi
37,Munch,"South Indian, Indian, Snacks",4.0,44,250,Delhi
