,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
0,Raj Luxmi Alambagh,"North Indian, Chinese, South Indian, Snacks",4.0,29,300,Lucknow
1,"3C's ( Subhash ""The Mithai Shop"")","North Indian, Chinese, South Indian, Sweets",4.1,37,250,Lucknow
2,Raj Luxmi Restaurant,"Indian, South Indian, Chinese, Sweets",3.9,29,300,Lucknow
3,Halka Fulka,"Indian, South Indian, Chinese, North Indian",3.9,33,150,Lucknow
4,Next In,"North Indian, South Indian",--,31,200,Lucknow
5,Shri Ganpati Sweets & Restaurant,"North Indian, South Indian, Chinese",4.1,38,300,Lucknow
6,Jai Mata Vaishno Bhojnalaya,"North Indian, Chinese, South Indian, Snacks, Beverages",3.6,31,200,Lucknow
7,Hotel Mera Mann And Restaurant,"North Indian, Mughlai, Chinese, Biryani, Tandoor, Snacks, South Indian, Beverage...",4.3,37,400,Lucknow
8,Manoranjan Sweet House,"North Indian, South Indian, Chaat, Snacks, Punjabi, Lucknowi, Desserts, Indian, ...",3.9,30,150,Lucknow
9,Balaji Bhojnalay,"North Indian, Chinese, South Indian, Thalis",3.9,30,200,Lucknow
10,Gopiz by Balaji,"Indian, Chinese, South Indian",4.0,31,200,Lucknow
11,Maa Durgaa Restaurant,"North Indian, Chinese, South Indian",3.9,31,150,Lucknow
12,Maa Ki Rasoi,"South Indian, Snacks, Beverages",--,34,150,Lucknow
13,Nav Bharat Restaurant,"North Indian, South Indian, Chinese",3.3,32,200,Lucknow
14,Sendha,"Indian, Bakery, Snacks, Tandoor, Biryani, South Indian, Salads, Sweets",--,33,200,Lucknow
15,South Indian Cuisines & Fast Food,"South Indian, Chinese",--,39,200,Lucknow
16,Marksmen,"Chinese, South Indian, Fast Food",4.0,39,400,Lucknow
17,Radical Palace,"North Indian, Chinese, South Indian",4.1,38,200,Lucknow
18,BAMBOOS CAFE AND RESTAURANT,"North Indian, South Indian, Chinese, Biryani",3.4,39,200,Lucknow
19,Ecotel Cafe,"Chinese, South Indian, Biryani",--,36,300,Lucknow
20,Aryan Family's Delight,"North Indian, South Indian, Chinese, Italian",4.3,39,300,Lucknow
21,Madras Restaurant,"South Indian, Chinese",3.8,32,200,Lucknow
22,Silver Spoon - Bakers & Cafe,"Indian, South Indian, Chinese, Italian",4.1,39,200,Lucknow
23,Curry Leaf,South Indian,4.2,38,300,Lucknow
24,GPO Ke Thande Dahi Bade,"South Indian, Snacks",4.0,28,100,Lucknow
25,Aahar,"North Indian, Chinese, South Indian",4.3,32,400,Lucknow
26,"3C's ( Subhash ""The Mithai Shop"")","North Indian, Chinese, South Indian, Sweets",4.1,37,250,Lucknow
27,Shivom The Mithai Shop And Restaurant,"Sweets, Indian, South Indian, North Indian, Snacks, Chinese",4.1,34,150,Lucknow
28,balle balle fast food restaurant,"North Indian, Chinese, South Indian",4.2,39,150,Lucknow
29,Tamil Nadu Dosa,South Indian,4.2,43,200,Lucknow
30,Spicy Hub,"North Indian, South Indian, Chinese",4.1,43,250,Lucknow
31,Kesari Snacks Point,"South Indian, Chinese, Snacks",--,38,220,Lucknow
32,Kesari Snacks Point,"South Indian, Chinese, Snacks",--,38,220,Lucknow
33,Fishlee,"South Indian, Seafood, Fast Food, Burgers, Beverages",--,40,500,Lucknow
34,UDUPI SOUTH INDIAN,South Indian,4.0,32,200,Lucknow
35,Dosa Plaza,South Indian,4.2,38,250,Lucknow
36,Raj Luxmi Ashiyana,"North Indian, South Indian, Italian, Snacks",4.2,35,250,Lucknow
37,Shivar mutton bhakari,"Burgers, Chinese, Fast Food, Tandoor, Biryani, Thalis, South Indian, Beverages",--,38,200,Lucknow
38,Pavillion - La Place Sarovar Portico,"North Indian, South Indian, Chinese",--,35,800,Lucknow
39,Chef Recipe,"Pizzas, South Indian, Chinese",--,45,200,Lucknow
