,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
0,Alakapuri,"South Indian, Kerala, North Indian",4.4,31,300,Kochi
1,THAAL KITCHEN,"Kerala, South Indian, North Indian",3.8,36,250,Kochi
2,Soofi Mandi,"Arabian, South Indian, Chinese",4.1,27,250,Kochi
3,Hotel Shree Aryas,"South Indian, North Indian, Chinese, Beverages",4.2,23,200,Kochi
4,Hotel Sree Aryaas,"South Indian, North Indian, Chinese",4.1,23,200,Kochi
5,Food O Food,"South Indian, Chinese",4.0,33,200,Kochi
6,Royal Bakery and Food Court,"Arabian, Beverages, Indian, South Indian",4.2,25,300,Kochi
7,Pallath Restaurant,South Indian,3.9,20,200,Kochi
8,Pala Pepper,"Kerala, South Indian",3.8,34,200,Kochi
9,Surya Restaurant,"South Indian, Arabian, Chinese",4.4,38,300,Kochi
10,Munthirikkoth,"Chinese, Kerala, South Indian",3.0,38,250,Kochi
11,Aryaas,"South Indian, North Indian, Chinese",4.4,27,200,Kochi
12,Hotel Thaal,"South Indian, North Indian, Chinese",4.0,30,250,Kochi
13,Thaal,"South Indian, Arabian",4.0,33,250,Kochi
14,Sultanate Biryani By Purple Foods,"Kebabs, South Indian, North Indian, Biryani",3.8,34,200,Kochi
15,Capxy Kitchen,"South Indian, Kerala",--,30,200,Kochi
16,Pandari's Biriyani,"Biryani, South Indian, Kerala",4.2,22,300,Kochi
17,Malabar Plaza,"South Indian, North Indian, Chinese",4.1,31,300,Kochi
18,Indie Feast By Purple Foods,"Kebabs, South Indian, North Indian, Biryani",4.3,36,200,Kochi
19,Star malabar,South Indian,4.0,26,200,Kochi
20,Hotel Abhirami,"South Indian, Chinese",4.3,28,300,Kochi
21,Purple Foods By Purple Foods,"South Indian, North Indian",4.0,36,200,Kochi
22,PORTICO,"South Indian, North Indian, Salads, Snacks",--,33,250,Kochi
23,Hotel Saravana Bhavan,South Indian,4.5,39,200,Kochi
24,Diwans Durbar,"North Indian, South Indian, Chinese",4.2,45,300,Kochi
25,Ifthar,"Arabian, South Indian, North Indian, Chinese, Beverages",3.8,30,300,Kochi
26,Grill House | Curry Club,"Grill, Arabian, Biryani, South Indian, Indian",3.8,41,400,Kochi
27,Harsh Dhaba,"North Indian, South Indian",4.2,37,200,Kochi
28,Rocks and Brews Kitchen,"Chinese, South Indian, Fast Food",4.2,42,300,Kochi
29,Nandanam Pure Vegetarian Restaurant,"South Indian, North Indian, Chinese",3.9,37,350,Kochi
30,Anandhas Chappathi Corner,"South Indian, North Indian",4.1,28,200,Kochi
31,CAKES AND BAKES,"South Indian, North Indian, Chinese, Beverages, Bakery",3.5,45,500,Kochi
32,Dosa Sambar Chutney,South Indian,3.7,34,300,Kochi
33,Mom Made,South Indian,--,35,200,Kochi
34,Khyber Fast Food,"Beverages, Chinese, South Indian",3.9,29,200,Kochi
35,Pai Brothers 36 Varieties of Dosa,South Indian,4.2,34,300,Kochi
36,Cafe Retro	,"Beverages, Chinese, South Indian, Biryani, Snacks",--,33,250,Kochi
37,Thripthy Foods,"South Indian, Chinese, Kerala",4.1,32,200,Kochi
38,AMBISWAMYS RESTAURANT,"Indian, South Indian",4.2,37,200,Kochi
39,Chinese Hub,"Chinese, South Indian, Juices",3.9,39,9,Kochi
40,Hotel Anandaas,"South Indian, Chinese, North Indian",4.0,39,300,Kochi
41,Sri Muruga Saravana Bhavan,"South Indian, Snacks",3.7,39,249,Kochi
42,Hotel Aryas,"South Indian, Chinese, Beverages",4.3,31,200,Kochi
43,Great Indian Khichdi by EatFit,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, Sou...",3.9,34,200,Kochi
44,Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",4.0,33,160,Kochi
45,Diet Eat,"Healthy Food, South Indian, Beverages, Salads",4.2,40,250,Kochi
46,Kamath's Inn,South Indian,4.2,33,200,Kochi
47,Brindhavan Vegetarian Restaurant,"South Indian, Chinese, North Indian",4.5,46,300,Kochi
48,Hotel Sagar,"South Indian, Chinese",3.9,38,250,Kochi
49,Mysore Raman Idli,South Indian,4.4,42,280,Kochi
50,Southern Spice,"Chinese, South Indian, Beverages",3.7,44,200,Kochi
51,Hot Wok,"Chinese, South Indian, North Indian, Biryani",4.2,44,250,Kochi
52,Hotel Jaybees,"South Indian, Arabian, Seafood",3.8,41,300,Kochi
53,JB Food Corner,"Snacks, South Indian, Indian, Chinese",3.8,42,200,Kochi
54,CoCoNut,"South Indian, Biryani, Juices, Desserts",3.8,39,300,Kochi
55,Hotel Sree Abhirami,"South Indian, Chinese",4.3,44,200,Kochi
56,pepper bite restaurant,"North Indian, Chinese, South Indian, Beverages",3.8,52,280,Kochi
57,Blooms ,"South Indian, Chinese, Kerala",3.7,51,200,Kochi
58,Naivedhya Pure Veg,"South Indian, Kerala",4.2,42,180,Kochi
