,Restaurant,Cuisine,Rating,Delivery_time,Price per two,Location
0,Priyadarshini Grand,"South Indian, North Indian, Chaat, Chinese, Beverages",4.5,32,200,Bangalore
1,Veena Stores,South Indian,4.5,29,100,Bangalore
2,Namaste,"South Indian, Thalis, Snacks, Biryani, Indian, Chinese, Desserts, Beverages",4.1,25,100,Bangalore
3,Vidyarthi Bhavan,South Indian,4.3,26,150,Bangalore
4,Ayodhya Upachar,"Chinese, Desserts, North Indian, South Indian, Chaat",4.3,33,200,Bangalore
5,Davanagere Benne Dose,South Indian,4.2,42,150,Bangalore
6,Puliyogare Point,South Indian,4.5,21,150,Bangalore
7,Paakashala,"North Indian, South Indian, Chinese, Chaat",4.3,33,500,Bangalore
8,A2B - Adyar Ananda Bhavan,"South Indian, North Indian, Sweets, Chinese",4.4,23,300,Bangalore
9,Sri Udupi Food Hub,"South Indian, North Indian, Indian, Chinese, Chaat, Ice Cream, Desserts, Beverag...",4.2,30,200,Bangalore
10,Hotel Dwarka,South Indian,4.5,25,200,Bangalore
11,Go Native,"Healthy Food, Jain, North Indian, South Indian",4.4,38,600,Bangalore
12,MTR,South Indian,4.4,26,300,Bangalore
13,Udupi Ruchi Grand,"South Indian, Chinese, North Indian, Chaat, Snacks",4.2,35,150,Bangalore
14,Brundavan Upachar,"South Indian, North Indian, Chinese, Chaat, Beverages, Ice Cream",4.1,37,200,Bangalore
15,Halli Jonne Biriyani,"South Indian, Biryani",4.3,33,300,Bangalore
16,Vijayalakshmi Veg,"North Indian, South Indian, Chinese, Fast Food",4.3,31,100,Bangalore
17,Vijayalakshmi,"South Indian, North Indian, Chinese",4.1,24,150,Bangalore
18,SLV Corner Restaurant,"Chinese, South Indian, North Indian, Desserts",4.4,23,450,Bangalore
19,Meghana Foods,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood",4.4,42,500,Bangalore
20,Brahmins' Thatte Idli,South Indian,4.5,29,150,Bangalore
21,Cafe Amudham,"South Indian, Snacks",4.7,27,400,Bangalore
22,Sri Udupi Sagar,"South Indian, North Indian, Chinese",4.2,40,150,Bangalore
23,Indraprastha Vegetarian,"Chinese, North Indian, South Indian",4.3,33,300,Bangalore
24,Brahmin's Coffee Bar,South Indian,4.7,21,100,Bangalore
25,Bangalore Thindies,South Indian,4.1,36,80,Bangalore
26,Welcome Upahara,"South Indian, North Indian",4.3,37,150,Bangalore
27,By 2 Coffee,South Indian,4.4,20,100,Bangalore
28,SLV Swadishta (South Indian),South Indian,4.5,26,300,Bangalore
29,New Udupi Upahar,"South Indian, North Indian, Chinese, Chaat, Juices, Beverages",4.2,37,200,Bangalore
30,Hotel Kadamba Veg,"South Indian, North Indian, Chinese, Sweets",4.2,35,350,Bangalore
31,Sri Udupi Park,"North Indian, South Indian, Chinese, Chaat, Beverages",4.4,40,200,Bangalore
32,IDC Kitchen,"South Indian, North Indian, Indian",4.5,31,150,Bangalore
33,Madurai Idly Shop,South Indian,4.1,38,150,Bangalore
34,Park View Restaurant,"Chinese, South Indian, North Indian, Beverages",4.4,42,200,Bangalore
35,SRI NAYVEDYA VEG,South Indian,4.3,31,150,Bangalore
36,Anna Kuteera,"South Indian, North Indian, Chinese, Juices",4.3,30,250,Bangalore
37,Sukh Sagar,South Indian,4.3,42,400,Bangalore
38,New Shanti Sagar,"South Indian, Chinese, North Indian, Fast Food",4.2,28,200,Bangalore
39,Bidadi Thatte idly,South Indian,4.2,31,100,Bangalore
40,New Alameen Restaurant,"Biryani, Kerala, Meat, North Indian, South Indian",3.9,40,300,Bangalore
41,Dwaraka Grand,"Street Food, North Indian, Chinese, Desserts, Ice Cream, South Indian",4.1,37,500,Bangalore
42,Upahara Darshini KIMS Canteen,"South Indian, North Indian, Desserts, Chinese",4.0,22,400,Bangalore
43,Malleshwaram dose corner,"South Indian, Snacks",4.4,41,120,Bangalore
44,South Idlis,"South Indian, Chinese",4.0,33,150,Bangalore
45,HOLIGE MANE,"South Indian, Snacks, Sweets",4.2,31,200,Bangalore
46,Hotel Prakruthi,South Indian,4.0,29,200,Bangalore
47,Shrinidhi Military Hotel,South Indian,4.0,27,299,Bangalore
48,Shrinidhi Military Hotel,South Indian,4.0,27,299,Bangalore
49,Chikpet Donne Biryani House Palace Guttahalli,"Biryani, South Indian",4.1,27,300,Bangalore
50,Krishnam Veg,"South Indian, North Indian, Chinese, Indian, Desserts, Snacks",4.0,28,200,Bangalore
51,Nammura Upachara,"South Indian, Chinese, North Indian",4.3,33,300,Bangalore
52,Sri Ganesh Upahara,"South Indian, Chinese",4.4,25,200,Bangalore
53,DBD-Davangere Benne Dosa,South Indian,4.3,26,150,Bangalore
54,Namma kudla Veg  Malleswaram,"Coastal, Konkan, South Indian, Sweets",4.4,32,100,Bangalore
55,Ayodhya Sagara,"Chinese, South Indian, North Indian, Desserts, Beverages, Mughlai",4.1,39,200,Bangalore
56,Davanagere Benne Dose,South Indian,4.1,36,120,Bangalore
57,Mulabagilu Dosa Point,"South Indian, Biryani, Snacks",--,42,200,Bangalore
58,Donne Biryani House,"Biryani, South Indian",3.9,33,300,Bangalore
59,Ayodhya Vaibhav,"Chinese, South Indian, Beverages",3.9,32,250,Bangalore
60,HOT COFFEE,South Indian,4.5,24,100,Bangalore
61,Chikkanna Tiffin Room(Cubbonpet),"South Indian, Snacks",4.6,30,200,Bangalore
62,Sanman Restaurant,"South Indian, Indian, Chinese",4.4,28,300,Bangalore
63,TKS Iyengars,South Indian,4.3,41,200,Bangalore
64,South Grand,"Street Food, North Indian, Chinese, Desserts, South Indian",4.2,39,400,Bangalore
65,SLV Ragigudda,"North Indian, Chinese, South Indian",4.4,36,250,Bangalore
66,Oru Vadakkan Cafe,"Kerala, Biryani, South Indian, Chinese, Seafood, Beverages",4.0,45,400,Bangalore
67,Nandhana Palace,"Biryani, Andhra, South Indian, North Indian",4.2,41,500,Bangalore
68,New Udupi Grand,"South Indian, North Indian, Chinese, Beverages",4.0,31,250,Bangalore
69,Sln tiffin room muddanna hotel,South Indian,4.3,27,40,Bangalore
70,GALLI KITCHEN,"South Indian, Fast Food",4.2,27,200,Bangalore
71,New Shanti Upahar,South Indian,4.4,34,200,Bangalore
72,Raghavendra Upahara,"South Indian, Chinese, Ice Cream",4.4,37,100,Bangalore
73,Ganesh Food Joint,South Indian,4.3,30,150,Bangalore
74,Ashirvaad Grand,"Chinese, South Indian, North Indian, Desserts, Beverages",4.3,37,200,Bangalore
75,UDUPI THINDI,"South Indian, Chinese, Beverages, Snacks",3.5,44,200,Bangalore
76,Chapati Factory,"Chinese, South Indian, Indian",4.1,38,99,Bangalore
77,Sai Prasadam,"South Indian, North Indian, Jain, Fast Food, Chinese",4.2,28,250,Bangalore
78,UTTARA KARNATAKA JOLADA ROTTI ANGADI,"Snacks, Sweets, South Indian",4.0,32,100,Bangalore
79,NARMADA CHAIN OF RESTAURANT,"Biryani, Andhra, South Indian",4.3,39,500,Bangalore
80,NARMADA CHAIN OF RESTAURANT,"Biryani, Andhra, South Indian",4.3,39,500,Bangalore
81,Malabar Bay,"Kerala, Seafood, South Indian, Biryani, Chinese, Desserts, Beverages",3.8,41,300,Bangalore
82,KAAPI KATTE,"South Indian, Combo",4.3,29,200,Bangalore
